,Year,Projected Adjusted Sea Level (in),Projected Global Surface Temperature Anomaly (celsius),Projected Greenland Ice Mass Change (billion metric tons),Projected Global CO2 Emissions (billion metric tons)
0,2023,9.908340413875234,0.9424046999999973,-4179.085000000021,39.79476999999997
1,2024,10.026112127628076,0.9541135999999959,-4354.48000000004,40.37976000000003
2,2025,10.143883841380879,0.965822499999998,-4529.875,40.96474999999987
3,2026,10.261655555133721,0.9775313999999966,-4705.270000000019,41.54973999999993
4,2027,10.379427268886566,0.9892402999999987,-4880.665000000037,42.13472999999999
5,2028,10.497198982639368,1.0009491999999973,-5056.059999999998,42.719719999999825
6,2029,10.614970696392211,1.012658099999996,-5231.455000000016,43.304709999999886
7,2030,10.732742410145056,1.024366999999998,-5406.850000000035,43.88969999999995
8,2031,10.850514123897888,1.0360758999999966,-5582.244999999995,44.47469000000001
9,2032,10.9682858376507,1.0477847999999987,-5757.640000000014,45.059679999999844
10,2033,11.086057551403545,1.0594936999999973,-5933.035000000033,45.644669999999905
11,2034,11.203829265156378,1.071202599999996,-6108.429999999993,46.22965999999997
12,2035,11.321600978909224,1.082911499999998,-6283.825000000012,46.81465000000003
13,2036,11.439372692662033,1.0946203999999966,-6459.22000000003,47.39963999999986
14,2037,11.557144406414878,1.1063292999999987,-6634.615000000049,47.984629999999925
15,2038,11.674916120167712,1.1180381999999973,-6810.010000000009,48.569619999999986
16,2039,11.792687833920521,1.129747099999996,-6985.405000000028,49.15460999999982
17,2040,11.910459547673366,1.141455999999998,-7160.800000000047,49.73959999999988
18,2041,12.0282312614262,1.1531648999999966,-7336.195000000007,50.324589999999944
19,2042,12.146002975179044,1.1648737999999987,-7511.590000000026,50.909580000000005
20,2043,12.263774688931857,1.1765826999999973,-7686.985000000044,51.49456999999984
21,2044,12.381546402684691,1.188291599999996,-7862.380000000005,52.0795599999999
22,2045,12.499318116437536,1.200000499999998,-8037.775000000023,52.66454999999996
23,2046,12.617089830190377,1.2117093999999966,-8213.170000000042,53.249540000000025
24,2047,12.734861543943179,1.2234182999999987,-8388.565000000002,53.83452999999986
25,2048,12.852633257696024,1.2351271999999973,-8563.960000000021,54.41951999999992
26,2049,12.970404971448868,1.246836099999996,-8739.35500000004,55.00450999999998
27,2050,13.08817668520167,1.258544999999998,-8914.75,55.589499999999816
28,2051,13.205948398954511,1.2702538999999966,-9090.145000000019,56.17448999999988
29,2052,13.323720112707356,1.2819627999999987,-9265.540000000037,56.75947999999994
30,2053,13.44149182646019,1.2936716999999973,-9440.934999999998,57.34447
31,2054,13.559263540213003,1.305380599999996,-9616.330000000016,57.929459999999835
32,2055,13.677035253965848,1.317089499999998,-9791.725000000035,58.5144499999999
33,2056,13.794806967718682,1.3287983999999966,-9967.119999999995,59.09943999999996
34,2057,13.912578681471526,1.3405072999999987,-10142.515000000014,59.68443000000002
35,2058,14.030350395224335,1.3522161999999973,-10317.910000000033,60.269419999999855
36,2059,14.14812210897717,1.363925099999996,-10493.304999999993,60.854409999999916
37,2060,14.265893822730014,1.375633999999998,-10668.700000000012,61.43939999999998
38,2061,14.383665536482823,1.3873428999999966,-10844.09500000003,62.02438999999981
39,2062,14.501437250235668,1.3990517999999987,-11019.490000000049,62.609379999999874
40,2063,14.619208963988502,1.4107606999999973,-11194.88500000001,63.194369999999935
41,2064,14.736980677741347,1.422469599999996,-11370.280000000028,63.77936
42,2065,14.854752391494156,1.434178499999998,-11545.675000000047,64.36434999999983
43,2066,14.97252410524699,1.4458873999999966,-11721.070000000007,64.94933999999989
44,2067,15.090295818999834,1.4575962999999987,-11896.465000000026,65.53432999999995
45,2068,15.208067532752679,1.4693051999999973,-12071.860000000044,66.11932000000002
46,2069,15.325839246505481,1.481014099999996,-12247.255000000005,66.70430999999985
47,2070,15.443610960258326,1.492722999999998,-12422.650000000023,67.28929999999991
48,2071,15.561382674011167,1.5044318999999966,-12598.045000000042,67.87428999999997
49,2072,15.679154387763969,1.5161407999999987,-12773.440000000002,68.45927999999981
50,2073,15.796926101516814,1.5278496999999973,-12948.835000000021,69.04426999999987
51,2074,15.914697815269658,1.539558599999996,-13124.23000000004,69.62925999999993
52,2075,16.032469529022492,1.551267499999998,-13299.625,70.21424999999999
53,2076,16.150241242775305,1.5629763999999966,-13475.020000000019,70.79923999999983
54,2077,16.26801295652815,1.5746852999999987,-13650.415000000037,71.38422999999989
55,2078,16.38578467028098,1.5863941999999973,-13825.809999999998,71.96921999999995
56,2079,16.503556384033825,1.598103099999996,-14001.205000000016,72.55421000000001
57,2080,16.621328097786634,1.609811999999998,-14176.600000000035,73.13919999999985
58,2081,16.73909981153947,1.6215208999999966,-14351.994999999995,73.72418999999991
59,2082,16.856871525292316,1.6332297999999987,-14527.390000000014,74.30917999999997
60,2083,16.974643239045157,1.6449386999999973,-14702.785000000033,74.89417000000003
61,2084,17.09241495279796,1.656647599999996,-14878.179999999993,75.47915999999987
62,2085,17.210186666550804,1.668356499999998,-15053.575000000012,76.06414999999993
63,2086,17.32795838030365,1.6800653999999966,-15228.97000000003,76.64913999999999
64,2087,17.445730094056458,1.6917742999999987,-15404.365000000049,77.23412999999982
65,2088,17.563501807809292,1.7034831999999973,-15579.76000000001,77.81911999999988
66,2089,17.681273521562137,1.715192099999996,-15755.155000000028,78.40410999999995
67,2090,17.79904523531498,1.726900999999998,-15930.550000000047,78.98910000000001
68,2091,17.916816949067783,1.7386098999999966,-16105.945000000007,79.57408999999984
