,Year,Projected Adjusted Sea Level
0,2023,9.908340413875234
1,2024,10.026112127628076
2,2025,10.143883841380879
3,2026,10.261655555133721
4,2027,10.379427268886566
5,2028,10.497198982639368
6,2029,10.614970696392211
7,2030,10.732742410145056
8,2031,10.850514123897888
9,2032,10.9682858376507
10,2033,11.086057551403545
11,2034,11.203829265156378
12,2035,11.321600978909224
13,2036,11.439372692662033
14,2037,11.557144406414878
15,2038,11.674916120167712
16,2039,11.792687833920521
17,2040,11.910459547673366
18,2041,12.0282312614262
19,2042,12.146002975179044
20,2043,12.263774688931857
21,2044,12.381546402684691
22,2045,12.499318116437536
23,2046,12.617089830190377
24,2047,12.734861543943179
25,2048,12.852633257696024
26,2049,12.970404971448868
27,2050,13.08817668520167
28,2051,13.205948398954511
29,2052,13.323720112707356
30,2053,13.44149182646019
31,2054,13.559263540213003
32,2055,13.677035253965848
33,2056,13.794806967718682
34,2057,13.912578681471526
35,2058,14.030350395224335
36,2059,14.14812210897717
37,2060,14.265893822730014
38,2061,14.383665536482823
39,2062,14.501437250235668
40,2063,14.619208963988502
41,2064,14.736980677741347
42,2065,14.854752391494156
43,2066,14.97252410524699
44,2067,15.090295818999834
45,2068,15.208067532752679
46,2069,15.325839246505481
47,2070,15.443610960258326
48,2071,15.561382674011167
49,2072,15.679154387763969
50,2073,15.796926101516814
51,2074,15.914697815269658
52,2075,16.032469529022492
53,2076,16.150241242775305
54,2077,16.26801295652815
55,2078,16.38578467028098
56,2079,16.503556384033825
57,2080,16.621328097786634
58,2081,16.73909981153947
59,2082,16.856871525292316
60,2083,16.974643239045157
61,2084,17.09241495279796
62,2085,17.210186666550804
63,2086,17.32795838030365
64,2087,17.445730094056458
65,2088,17.563501807809292
66,2089,17.681273521562137
67,2090,17.79904523531498
68,2091,17.916816949067783
69,2092,18.034588662820624
70,2093,18.15236037657347
71,2094,18.270132090326303
72,2095,18.387903804079116
73,2096,18.50567551783196
74,2097,18.62344723158479
75,2098,18.741218945337604
76,2099,18.85899065909045
77,2100,18.976762372843282
78,2101,19.094534086596127
79,2102,19.21230580034894
80,2103,19.330077514101774
81,2104,19.447849227854615
82,2105,19.56562094160746
83,2106,19.683392655360258
84,2107,19.801164369113103
85,2108,19.91893608286595
86,2109,20.03670779661875
87,2110,20.154479510371594
88,2111,20.27225122412444
89,2112,20.390022937877283
90,2113,20.507794651630082
91,2114,20.625566365382927
92,2115,20.74333807913577
93,2116,20.861109792888605
94,2117,20.978881506641418
95,2118,21.09665322039426
96,2119,21.214424934147093
97,2120,21.332196647899906
98,2121,21.44996836165275
99,2122,21.567740075405585
100,2123,21.685511789158426
101,2124,21.80328350291124
102,2125,21.921055216664072
103,2126,22.038826930416917
104,2127,22.15659864416976
105,2128,22.27437035792256
106,2129,22.39214207167541
107,2130,22.50991378542825
108,2131,22.627685499181084
109,2132,22.745457212933893
110,2133,22.863228926686737
111,2134,22.981000640439575
112,2135,23.098772354192384
113,2136,23.21654406794523
114,2137,23.334315781698074
115,2138,23.452087495450904
116,2139,23.569859209203717
117,2140,23.68763092295656
118,2141,23.805402636709395
119,2142,23.92317435046224
120,2143,24.04094606421505
121,2144,24.158717777967883
122,2145,24.27648949172073
123,2146,24.39426120547354
124,2147,24.51203291922637
125,2148,24.62980463297922
126,2149,24.74757634673206
127,2150,24.865348060484862
128,2151,24.983119774237707
129,2152,25.100891487990552
130,2153,25.218663201743382
131,2154,25.3364349154962
132,2155,25.45420662924904
133,2156,25.571978343001874
134,2157,25.689750056754686
135,2158,25.80752177050753
136,2159,25.925293484260365
137,2160,26.04306519801321
138,2161,26.16083691176602
139,2162,26.278608625518864
140,2163,26.396380339271694
141,2164,26.514152053024542
142,2165,26.63192376677735
143,2166,26.74969548053019
144,2167,26.86746719428303
145,2168,26.98523890803584
146,2169,27.103010621788677
147,2170,27.220782335541518
148,2171,27.338554049294363
149,2172,27.456325763047165
150,2173,27.57409747680001
151,2174,27.69186919055285
152,2175,27.809640904305688
153,2176,27.927412618058497
154,2177,28.045184331811342
155,2178,28.162956045564176
156,2179,28.28072775931699
157,2180,28.39849947306983
158,2181,28.516271186822664
159,2182,28.63404290057551
160,2183,28.75181461432832
161,2184,28.869586328081162
162,2185,28.987358041834
163,2186,29.10512975558684
164,2187,29.222901469339654
165,2188,29.340673183092488
166,2189,29.458444896845332
167,2190,29.576216610598173
168,2191,29.693988324350975
169,2192,29.81176003810382
170,2193,29.929531751856665
171,2194,30.047303465609467
172,2195,30.165075179362308
173,2196,30.282846893115153
174,2197,30.400618606867987
175,2198,30.5183903206208
176,2199,30.63616203437364
177,2200,30.753933748126478
178,2201,30.87170546187932
179,2202,30.989477175632132
180,2203,31.107248889384966
181,2204,31.22502060313781
182,2205,31.34279231689062
183,2206,31.460564030643454
184,2207,31.5783357443963
185,2208,31.696107458149143
186,2209,31.813879171901952
187,2210,31.93165088565479
188,2211,32.04942259940763
189,2212,32.16719431316048
190,2213,32.284966026913274
191,2214,32.40273774066612
192,2215,32.52050945441896
193,2216,32.638281168171766
194,2217,32.75605288192461
195,2218,32.873824595677455
196,2219,32.991596309430285
197,2220,33.109368023183094
198,2221,33.227139736935946
199,2222,33.34491145068878
200,2223,33.46268316444162
201,2224,33.58045487819443
